hour,electricity_production,heat_production,refrigeration_produced,purchased_electricity,heat_stored,electrical_efficiency,thermal_efficiency,carbon_credits,fuel_blend_ng,fuel_blend_h2,fuel_blend_biomass,model_cost
125,0.025916797922460957,0.10366719168984383,0.4146687658687716,1.402737892007071,9.848714999137075e-10,,,0,0,0,0,2729987.098184517
126,0.03154411775740662,0.12617647102962648,0.5047058829250559,1.6419500211224936,1.0023882814623332e-09,,,0,0,0,0,2729987.098184517
127,0.03126703357482159,0.12506813429928637,0.5002725361122469,1.8751171478397,1.0077795479911574e-09,,,0,0,0,0,2729987.098184517
128,0.03175138484948686,0.12700553939794745,0.5080221567232922,2.3239094994856986,9.910048662044768e-10,,,0,0,0,0,2729987.098184517
129,0.03165265627805617,0.12661062511222468,0.5064424998401189,2.511841763269302,9.509836195858912e-10,,,0,0,0,0,2729987.098184517
130,0.03807145757636654,0.15228583030546616,0.6091433201092162,2.9666824964821235,9.625330498633664e-10,,,0,0,0,0,2729987.098184517
131,0.03656623587833413,0.14626494351333652,0.5850597732970133,3.0290393237768183,9.376060783070847e-10,,,0,0,0,0,2729987.098184517
132,0.039898010862963615,0.15959204345185446,0.6383681730539382,3.161960698590207,9.137844273420579e-10,,,0,0,0,0,2729987.098184517
133,0.038301043881531965,0.15320417552612786,0.6128167004980241,3.1264091486778045,9.812712891069762e-10,,,0,0,0,0,2729987.098184517
134,0.04110112894776307,0.16440451579105228,0.6576180623923836,3.3677533380603184,9.572255961286618e-10,,,0,0,0,0,2729987.098184517
135,0.0403798746863882,0.1615194987455528,0.6460779945313727,3.280342827951536,9.065591897569201e-10,,,0,0,0,0,2729987.098184517
136,0.04249932161020628,0.16999728644082512,0.6799891448712423,3.2724454894609067,8.982215199322159e-10,,,0,0,0,0,2729987.098184517
137,0.04256785676146869,0.17027142704587475,0.6810857070929907,3.192856859190301,9.10710154383124e-10,,,0,0,0,0,2729987.098184517
138,0.043941543817354975,0.1757661752694199,0.7030646999524333,2.884374858083126,9.262237736365432e-10,,,0,0,0,0,2729987.098184517
139,0.03886074109419116,0.15544296437676464,0.6217718568013908,2.508348417652696,8.989410506768172e-10,,,0,0,0,0,2729987.098184517
140,0.03659478050499832,0.14637912201999329,0.5855164870333721,2.3640964527935986,9.068798263086307e-10,,,0,0,0,0,2729987.098184517
141,0.03652421752484834,0.14609687009939337,0.5843874796717908,2.0463002264004317,8.823568898184716e-10,,,0,0,0,0,2729987.098184517
142,0.033075370061944616,0.13230148024777846,0.5292059200731943,1.5999456358706883,8.779462800290451e-10,,,0,0,0,0,2729987.098184517
143,0.035603998902648246,0.14241599561059298,0.5696639813538008,1.4517159045297308,8.912308410888983e-10,,,0,0,0,0,2729987.098184517
144,0.030892372894948124,0.1235694915797925,0.4942779657575716,1.3937525631849286,8.527101633883857e-10,,,0,0,0,0,2729987.098184517
145,0.030920684497275346,0.12368273798910139,0.4947309500044435,1.1321394004814618,9.625045189245318e-10,,,0,0,0,0,2729987.098184517
146,0.03048965503628419,0.12195862014513675,0.4878344798294222,1.2270315074378713,9.375782976983545e-10,,,0,0,0,0,2729987.098184517
147,0.02831670758176566,0.11326683032706264,0.453067320683346,1.3810243916813163,9.023784990817701e-10,,,0,0,0,0,2729987.098184517
148,0.02304022662201918,0.09216090648807672,0.3686436249809707,1.1912733399572963,9.023385355906541e-10,,,0,0,0,0,2729987.098184517
149,0.02308944184799111,0.09235776739196444,0.3694310685976962,1.3865232461665415,9.022006366099821e-10,,,0,0,0,0,2729987.098184517
150,0.03217062723028373,0.12868250892113492,0.5147300350201656,1.7695682435813596,8.722712567882432e-10,,,0,0,0,0,2729987.098184517
151,0.028919900594875137,0.11567960237950055,0.4627184087632178,1.9965196048626108,8.521827235475052e-10,,,0,0,0,0,2729987.098184517
152,0.0326672840134307,0.1306691360537228,0.522676543748035,2.241084800085908,8.079739410076777e-10,,,0,0,0,0,2729987.098184517
153,0.03218712397965689,0.12874849591862755,0.5149939820863019,2.514193353330156,8.786304540701935e-10,,,0,0,0,0,2729987.098184517
154,0.036601533239018776,0.1464061329560751,0.585624530869373,2.761978504230185,8.774308358242168e-10,,,0,0,0,0,2729987.098184517
155,0.045014033405715664,0.18005613362286266,0.7202245335115814,3.016614070866178,8.787768598423458e-10,,,0,0,0,0,2729987.098184517
156,0.04270168946797547,0.1708067578719019,0.6832270305904448,3.357942583433158,8.714497898582376e-10,,,0,0,0,0,2729987.098184517
157,0.039670753890941844,0.15868301556376738,0.634732061713209,3.225318676723268,8.315853900767071e-10,,,0,0,0,0,2729987.098184517
158,0.039908246549242944,0.15963298619697178,0.6385319439214132,3.2422415491610588,8.232750650725346e-10,,,0,0,0,0,2729987.098184517
159,0.04485763744189523,0.1794305497675809,0.7177221982010404,3.3386273097152666,8.152368312841842e-10,,,0,0,0,0,2729987.098184517
160,0.039240594510970714,0.15696237804388286,0.6278495108187271,3.1026756984273485,8.582562531882568e-10,,,0,0,0,0,2729987.098184517
161,0.04136025061558789,0.16544100246235155,0.6617640092318714,3.0593501562807264,8.24396568939876e-10,,,0,0,0,0,2729987.098184517
162,0.04832959116618121,0.19331836466472485,0.7732734567436947,2.743110997550883,9.282332551391001e-10,,,0,0,0,0,2729987.098184517
163,0.04579093237445175,0.183163729497807,0.7326549171189461,2.5808258505980213,9.142225397426646e-10,,,0,0,0,0,2729987.098184517
164,0.043818353370204476,0.1752734134808179,0.7010936518694411,2.2060347533929785,1.0291260855046701e-09,,,0,0,0,0,2729987.098184517
165,0.040299610000860527,0.1611984400034421,0.6447937587165422,2.02959446521923,1.0542466809982474e-09,,,0,0,0,0,2729987.098184517
166,0.02940829026002871,0.11763316104011484,0.4705326435316876,1.7917364980201917,1.0115454052234626e-09,,,0,0,0,0,2729987.098184517
167,0.042530491792942195,0.17012196717176878,0.6804878665626073,1.5673137484761872,1.1306068475154306e-09,,,0,0,0,0,2729987.098184517
168,0.03286642325392043,0.13146569301568173,0.5258627713057679,1.4460386287470328,1.0964150043675156e-09,,,0,0,0,0,2729987.098184517
169,0.027671050672874814,0.11068420269149926,0.4427368100316626,1.0047084583572277,1.0622313673773753e-09,,,0,0,0,0,2729987.098184517
170,0.02739097082513965,0.1095638833005586,0.4382555324210325,1.224707416717013,1.0345627570917451e-09,,,0,0,0,0,2729987.098184517
171,0.0263697593776433,0.1054790375105732,0.4219161493323814,1.1760305876416073,1.0018408764810956e-09,,,0,0,0,0,2729987.098184517
172,0.025093409374485044,0.10037363749794018,0.4014945489979853,1.3061190432933372,9.98978077260906e-10,,,0,0,0,0,2729987.098184517
173,0.027954564062564587,0.11181825625025835,0.4472730240954704,1.646784590835471,9.875209708891814e-10,,,0,0,0,0,2729987.098184517
174,0.03535606820464311,0.14142427281857245,0.565697090002298,1.5774833173585667,1.015450666564563e-09,,,0,0,0,0,2729987.098184517
175,0.034279529185019746,0.13711811674007898,0.5484724662227429,1.804537560103414,9.872353345268287e-10,,,0,0,0,0,2729987.098184517
176,0.03256116185071316,0.13024464740285263,0.5209785889470675,2.210132087058834,9.538801967540267e-10,,,0,0,0,0,2729987.098184517
177,0.03673170176398412,0.14692680705593647,0.5877072274839629,2.5109424864908934,9.29372807516455e-10,,,0,0,0,0,2729987.098184517
178,0.035012664935899586,0.14005065974359834,0.5602026380709884,2.916402879115078,9.224429522008888e-10,,,0,0,0,0,2729987.098184517
179,0.03826225326927554,0.15304901307710217,0.6121960513161482,3.0090965458676666,9.249876054487611e-10,,,0,0,0,0,2729987.098184517
180,0.041593888312179056,0.16637555324871622,0.6655022121459694,3.148927083608417,9.130349640884628e-10,,,0,0,0,0,2729987.098184517
181,0.04032895557383264,0.16131582229533056,0.6452632881774475,3.1801808813469754,9.177088301377408e-10,,,0,0,0,0,2729987.098184517
182,0.040959215152128185,0.16383686060851274,0.6553474415206801,3.3701048585072653,9.129723934316338e-10,,,0,0,0,0,2729987.098184517
183,0.03687072762955691,0.14748291051822765,0.5899316410940286,3.359874219440163,9.152789006373481e-10,,,0,0,0,0,2729987.098184517
184,0.04348628751928134,0.17394515007712535,0.6957805991329058,3.0492823695203986,9.384904629266135e-10,,,0,0,0,0,2729987.098184517
185,0.04394405877084622,0.17577623508338489,0.7031049396786534,2.9718032605140725,9.078942324065095e-10,,,0,0,0,0,2729987.098184517
186,0.0441810100014322,0.1767240400057288,0.7068961592883202,2.993192136456855,8.864675767670687e-10,,,0,0,0,0,2729987.098184517
187,0.03920970710803497,0.1568388284321399,0.6273553127655416,2.399134788280941,8.891104048581546e-10,,,0,0,0,0,2729987.098184517
188,0.034513005559201115,0.13805202223680446,0.5522080881162549,2.134808975749647,8.783113391692035e-10,,,0,0,0,0,2729987.098184517
189,0.03537590082032016,0.14150360328128064,0.5660144122007498,1.8796263653440635,8.776277770791934e-10,,,0,0,0,0,2729987.098184517
190,0.04151626487525108,0.1660650595010043,0.6642602372948845,1.7042810385425275,8.556358380180883e-10,,,0,0,0,0,2729987.098184517
191,0.03354382789628863,0.13417531158515453,0.5367012454875832,1.5074346023382785,8.488071029183213e-10,,,0,0,0,0,2729987.098184517
192,0.033183458240308536,0.13273383296123414,0.5309353309022677,1.2136552391199473,8.514838902056063e-10,,,0,0,0,0,2729987.098184517
193,0.028779838026588962,0.11511935210635585,0.4604774073889545,0.9921257751995219,8.638895869435563e-10,,,0,0,0,0,2729987.098184517
194,0.0277376917078304,0.1109507668313216,0.4438030666490137,1.2618811702567045,8.394974562077203e-10,,,0,0,0,0,2729987.098184517
195,0.029218029560826704,0.11687211824330682,0.4674884718101226,1.1225399630308972,8.65931117160475e-10,,,0,0,0,0,2729987.098184517
196,0.02497138563214113,0.09988554252856452,0.3995421691509784,1.2015761844846082,8.699889126419341e-10,,,0,0,0,0,2729987.098184517
197,0.02590962651525522,0.10363850606102087,0.4145540235826976,1.2686256587594462,8.439668402912651e-10,,,0,0,0,0,2729987.098184517
198,0.026641948140976313,0.10656779256390525,0.4262711695893152,1.6626131330605651,8.196913795975964e-10,,,0,0,0,0,2729987.098184517
199,0.03121326079494305,0.1248530431797722,0.4994121719667181,2.0577742659939453,8.047790336419616e-10,,,0,0,0,0,2729987.098184517
200,0.035132364686440994,0.14052945874576397,0.5621178344797344,2.3102878284628554,7.679101828519587e-10,,,0,0,0,0,2729987.098184517
201,0.03247243452379814,0.12988973809519255,0.5195589517895521,2.4324361809041726,7.40124324591157e-10,,,0,0,0,0,2729987.098184517
202,0.03777467616963815,0.1510987046785526,0.6043948181591605,2.9299824541849793,7.102106290581837e-10,,,0,0,0,0,2729987.098184517
203,0.039270083950699794,0.15708033580279918,0.6283213416745003,3.2444349525605403,7.823276445794122e-10,,,0,0,0,0,2729987.098184517
