Year,Hour,ElectricityProduction,HeatProduction,PurchasedElectricity,HeatOverProduction,ElectricityOverProduction,CO2Emissions,HeatStored,HeatWithdrawn,ElecReductionByCHP,HeatReductionByCHP,GridReductionShortfall,HeatToElec,UsefulHeat,UsefulElec,HeatToPlant,ElecToPlant,RefrigerationProduced,HeatUsedForCooling,ElecUsedForCooling,RampRate,ProductionOutput
0,5951,0.0,469.8588896516942,558.9999999981887,5.4578094932367094e-08,0.0,0.0,349.4736826251465,237.08222080214517,1.8112161222380016e-09,1.8112161222380016e-09,0.0,0.0,469.8588895971161,0.0,540.8999999981887,0.0,190.0,95.0,0.0,400.0,879.1999999971022
0,5952,0.0,521.4000004679065,640.9999999981791,5.9473791225173045e-08,0.0,0.0,1.64640366171845e-07,165.99999917949287,1.8209370106964493e-09,1.8209370106964493e-09,0.0,0.0,521.4000004084327,0.0,549.899999998179,0.0,218.0,109.0,0.0,400.0,951.9999999970864
0,5953,0.0,921.400000265695,425.99999999825786,307.25000058907517,0.0,0.0,153.62499916439353,6.432762213499651e-07,1.7421100815923027e-09,1.7421100815923027e-09,0.0,0.0,614.1499996766198,0.0,562.8999999982578,0.0,205.0,102.5,0.0,400.0,790.3999999972127
0,5954,0.0,1321.4000002161092,373.9999999982461,778.7809208333696,0.0,0.0,439.21052716083284,48.06184123101281,1.7539066876054392e-09,1.7539066876054392e-09,0.0,0.0,542.6190793827396,0.0,515.899999998246,0.0,203.0,101.5,0.0,400.0,711.1999999971938
0,5955,0.0,1721.4000001926993,325.9999999982532,1165.5000004783806,0.0,0.0,999.9999999062437,5.678689404348554e-07,1.746813234859262e-09,1.746813234859262e-09,0.0,0.0,555.8999997143187,0.0,502.8999999982532,0.0,212.0,106.0,0.0,400.0,662.3999999972052
0,5956,0.0,2121.4000001758736,446.9999999980829,1.6934565009857875e-08,0.0,0.0,5.628233931569627e-07,474.9999996782877,1.9170956266279508e-09,1.9170956266279508e-09,0.0,0.0,2121.400000158939,0.0,2306.899999998083,0.0,208.0,104.0,0.0,400.0,2202.3999999969324
0,5957,0.0,2325.900000056761,352.9999999982083,8.838765086050993e-08,0.0,0.0,4.5953797887695944e-07,5.966903502620483e-08,1.791701326675354e-09,1.791701326675354e-09,0.0,0.0,2325.899999968374,0.0,2271.8999999982084,0.0,216.0,108.0,0.0,400.0,2099.1999999971335
0,5958,0.0,2236.6500001999143,400.99999999825985,2.2473317189281094e-07,0.0,0.0,4.566118677629786e-07,4.61578990582664e-08,1.74014157922711e-09,1.74014157922711e-09,0.0,0.0,2236.6499999751813,0.0,2185.89999999826,0.0,203.0,101.5,0.0,400.0,2068.799999997216
0,5959,0.0,2440.8999999784837,428.9999999981842,4.554907703425129e-08,0.0,0.0,1.9555637074790105e-07,1.304997210720214e-07,1.8158221437890675e-09,1.8158221437890675e-09,0.0,0.0,2440.899999932935,0.0,2385.8999999981843,0.0,220.0,110.0,0.0,400.0,2251.1999999970953
0,5960,0.0,2040.9000000679894,441.99999999826633,130.7500001126953,0.0,0.0,65.37500007023702,8.594460276404598e-08,1.7336488677442812e-09,1.7336488677442812e-09,0.0,0.0,1910.149999955294,0.0,1859.8999999982664,0.0,201.0,100.5,0.0,400.0,1840.7999999972262
